long,lat,id,estacion,linea
-58.4696396292247,-34.630707087006,83,SAN PEDRITO,A
-58.3709684989674,-34.6088103091689,70,PLAZA DE MAYO,A
-58.4863853478891,-34.5743189142748,81,JUAN MANUEL DE ROSAS - VILLA URQUIZA,B
-58.3699298501224,-34.6029894966332,72,LEANDRO N. ALEM,B
-58.3740182164816,-34.5911938083332,13,RETIRO,C
-58.3814344339343,-34.6276194522548,19,CONSTITUCION,C
-58.4623784082243,-34.5556417664261,71,CONGRESO DE TUCUMAN,D
-58.3739558069511,-34.6078023364289,69,CATEDRAL,D
-58.4616517616898,-34.6433121624098,67,PLAZA DE LOS VIRREYES - EVA PERON,E
-58.3758498374305,-34.592114361931,90,RETIRO,E
-58.39101882656,-34.5830363400093,87,FACULTAD DE DERECHO - JULIETA LANTERI,H
-58.4123851512005,-34.6412689433909,79,HOSPITALES,H
